City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (°F)
0,grytviken,-54.2811,-36.5092,36.03200000000002,97,100,5.91,GS,1696263299,36.03200000000002
1,selfoss,63.9331,-20.9971,50.03600000000007,61,86,6.23,IS,1696263246,50.03600000000007
2,korla,41.7597,86.1469,67.316,30,83,3.01,CN,1696263452,67.316
3,tiksi,71.6872,128.8694,26.564000000000032,85,100,3.66,RU,1696263146,26.564000000000032
4,kingston,17.997,-76.7936,92.24600000000005,68,20,1.54,JM,1696263297,92.24600000000005
5,qaqortoq,60.7167,-46.0333,43.43000000000004,48,100,1.33,GL,1696263453,43.43000000000004
6,wailua homesteads,22.0669,-159.378,72.03200000000001,85,40,3.09,US,1696263288,72.03200000000001
7,lerwick,60.1545,-1.1494,55.4,76,27,10.39,GB,1696262984,55.4
8,edinburgh of the seven seas,-37.0676,-12.3116,49.15400000000005,61,81,11.77,SH,1696262928,49.15400000000005
9,sabang,5.8933,95.3214,82.86800000000008,78,87,7.95,ID,1696263454,82.86800000000008
10,shenkursk,62.1091,42.896,45.95,89,100,3.13,RU,1696263455,45.95
11,vilyuchinsk,52.9306,158.4028,47.93000000000004,81,100,13.23,RU,1696263455,47.93000000000004
12,olonkinbyen,70.9221,-8.7187,36.91400000000003,89,100,8.24,SJ,1696263157,36.91400000000003
13,tanout,14.9709,8.8879,85.01000000000008,36,95,8.24,NE,1696263138,85.01000000000008
14,port-aux-francais,-49.35,70.2167,33.51200000000006,59,100,15.24,TF,1696262956,33.51200000000006
15,ushuaia,-54.8,-68.3,41.05400000000005,59,96,2.72,AR,1696262923,41.05400000000005
16,hawaiian paradise park,19.5933,-154.9731,72.03200000000001,95,20,2.57,US,1696262919,72.03200000000001
17,tazovsky,67.4667,78.7,43.97000000000006,96,100,7.27,RU,1696262963,43.97000000000006
18,whitehorse,60.7161,-135.0538,39.30800000000001,86,99,4.47,CA,1696262974,39.30800000000001
19,sur,22.5667,59.5289,84.7760000000001,62,40,0.14,OM,1696263003,84.7760000000001
20,pressbaum,48.176,16.0477,75.90200000000007,55,75,3.09,AT,1696263457,75.90200000000007
21,joshimath,30.5667,79.5667,63.41000000000008,84,25,0.83,IN,1696263458,63.41000000000008
22,labuan,5.2767,115.2417,79.16000000000008,94,20,0.0,MY,1696263458,79.16000000000008
23,thompson,55.7435,-97.8558,41.05400000000005,80,90,2.66,CA,1696262884,41.05400000000005
24,waitangi,-43.9535,-176.5597,50.82800000000007,86,98,4.47,NZ,1696262917,50.82800000000007
25,yellowknife,62.456,-114.3525,42.42200000000004,100,75,2.06,CA,1696262899,42.42200000000004
26,norilsk,69.3535,88.2027,27.428000000000065,86,100,5.67,RU,1696263459,27.428000000000065
27,gornyy,55.1153,83.9059,42.56600000000001,67,35,2.6,RU,1696263460,42.56600000000001
28,sisimiut,66.9395,-53.6735,37.72400000000001,58,94,1.15,GL,1696263460,37.72400000000001
29,kodiak,57.79,-152.4072,44.11400000000003,65,0,3.09,US,1696262922,44.11400000000003
30,shengli,37.4564,118.4856,69.65600000000003,44,100,2.54,CN,1696263461,69.65600000000003
31,palikir - national government center,6.9248,158.1611,82.90400000000005,73,19,1.97,FM,1696263125,82.90400000000005
32,vila velha,-20.3297,-40.2925,84.14600000000004,81,20,4.63,BR,1696262970,84.14600000000004
33,sault ste. marie,46.5168,-84.3333,73.68800000000005,70,0,5.14,CA,1696263314,73.68800000000005
34,san antonio de pale,-1.4014,5.6325,77.46800000000009,86,100,6.22,GQ,1696263462,77.46800000000009
35,mahalapye,-23.1041,26.8142,73.22000000000006,37,0,7.96,BW,1696263462,73.22000000000006
36,klyuchi,52.2667,79.1667,45.104000000000056,46,2,3.34,RU,1696263206,45.104000000000056
37,ingeniero guillermo n. juarez,-23.9,-61.85,95.30600000000003,21,7,4.27,AR,1696263463,95.30600000000003
38,invercargill,-46.4,168.35,37.022000000000034,84,12,1.34,NZ,1696263463,37.022000000000034
39,ust-nera,64.5667,143.2,29.210000000000083,81,31,0.89,RU,1696263128,29.210000000000083
40,susuman,62.7833,148.1667,28.97600000000009,82,11,1.34,RU,1696263207,28.97600000000009
41,ambovombe,-25.1667,46.0833,66.29000000000002,65,100,7.11,MG,1696263122,66.29000000000002
42,udachny,66.4167,112.4,21.452000000000076,85,13,2.64,RU,1696262936,21.452000000000076
43,uturoa,-16.7333,-151.4333,78.674,80,14,5.94,PF,1696263236,78.674
44,raduzhny,62.0961,77.475,49.820000000000064,83,90,6.39,RU,1696263465,49.820000000000064
45,slave lake,55.2834,-114.769,44.582000000000015,76,100,1.03,CA,1696263345,44.582000000000015
46,puerto natales,-51.7236,-72.4875,48.65,61,75,5.66,CL,1696263116,48.65
47,keetmanshoop,-26.5833,18.1333,96.76400000000004,6,0,6.31,,1696263466,96.76400000000004
48,titahari,26.6667,87.2833,79.37600000000009,88,71,2.64,NP,1696263466,79.37600000000009
49,pisco,-13.7,-76.2167,71.02400000000002,73,0,4.12,PE,1696263096,71.02400000000002
50,malvan,16.0667,73.4667,79.28600000000007,84,100,2.44,IN,1696263467,79.28600000000007
51,watsa,3.0372,29.5355,68.52200000000003,93,45,2.56,CD,1696263468,68.52200000000003
52,praia da vitoria,38.7333,-27.0667,71.85200000000007,68,20,5.63,PT,1696263147,71.85200000000007
53,vorgashor,67.5833,63.95,46.45400000000005,94,100,6.99,RU,1696262974,46.45400000000005
54,talnakh,69.4865,88.3972,27.212000000000057,79,100,6.27,RU,1696263142,27.212000000000057
55,ribeira grande,38.5167,-28.7,71.99600000000005,56,20,5.66,PT,1696263159,71.99600000000005
56,cadale,2.7603,46.3222,79.37600000000009,82,4,7.6,SO,1696263469,79.37600000000009
57,atafu village,-8.5421,-172.5159,82.45400000000005,74,20,1.33,TK,1696263141,82.45400000000005
58,houghton,47.1219,-88.569,82.67000000000006,73,0,3.09,US,1696263269,82.67000000000006
59,'alaqahdari dishu,30.4374,63.313,77.57600000000009,12,0,1.45,AF,1696263470,77.57600000000009
60,brownwood,31.7093,-98.9912,86.0,48,0,5.14,US,1696263196,86.0
61,port elizabeth,-33.918,25.5701,69.31400000000004,73,0,0.89,ZA,1696262933,69.31400000000004
62,camargo,27.6667,-105.1667,78.74600000000005,50,93,6.75,MX,1696263471,78.74600000000005
63,afaahiti,-17.75,-149.2833,73.27400000000002,88,75,7.99,PF,1696263119,73.27400000000002
64,adamstown,-25.066,-130.1015,68.14400000000008,75,18,10.88,PN,1696263111,68.14400000000008
65,kuala belait,4.5833,114.1833,78.96200000000006,84,100,1.77,BN,1696263472,78.96200000000006
66,stanley,54.868,-1.6985,57.056000000000026,85,20,2.57,GB,1696262932,57.056000000000026
67,usogorsk,63.4106,48.6872,44.67200000000004,86,100,3.61,RU,1696263473,44.67200000000004
68,khanty-mansiysk,61.0042,69.0019,55.508,62,0,7.15,RU,1696263473,55.508
69,nantucket,41.2835,-70.0995,69.94400000000007,78,0,10.29,US,1696262904,69.94400000000007
70,gevrai,19.2667,75.75,78.51200000000006,69,99,3.44,IN,1696263474,78.51200000000006
71,meulaboh,4.1363,96.1285,77.39600000000004,89,99,2.75,ID,1696263474,77.39600000000004
72,saynshand,44.8824,110.1163,53.54600000000005,45,0,7.74,MN,1696263156,53.54600000000005
